"","n","k","normality","sphericity","hypothesis","p","BF","mauchly","mardia","eta"
"14618",45,3,TRUE,TRUE,"H0",0.591,0.113081909659463,0.53,0.237277491799619,0.006
"14619",150,3,TRUE,TRUE,"H0",0.987,0.0244830100154097,0.475,0.464743243790223,6.08e-05
"14620",15,3,FALSE,TRUE,"H0",0.246,0.617199391207466,0.231,0.978455102638957,0.077
"14621",45,3,FALSE,TRUE,"H0",0.743,0.0948743694414393,0.508,0.118781907024793,0.005
"14622",150,3,FALSE,TRUE,"H0",0.839,0.0299024360154068,0.448,3.02943997518845e-05,0.000826
"14623",15,3,TRUE,FALSE,"H0",0.354,0.341014536876928,0.861,0.970991125173118,0.021
"14624",45,3,TRUE,FALSE,"H0",0.696,0.0967772080247064,0.25,0.646925928183732,0.003
"14625",150,3,TRUE,FALSE,"H0",0.436,0.0532971669321953,1.46e-06,0.401771625738796,0.002
"14626",15,3,TRUE,TRUE,"Ha",0.073,1.98008598796808,0.261,0.837037013265264,0.134
"14627",45,3,TRUE,TRUE,"Ha",0.001,79.5679540586979,0.145,0.906611691827556,0.103
"14628",150,3,TRUE,TRUE,"Ha",2.86e-09,19057660.6358003,0.021,0.751024348877036,0.084
"14629",15,3,FALSE,TRUE,"Ha",0.009,24.6118357176094,0.111,0.982213378654693,0.254
"14630",45,3,FALSE,TRUE,"Ha",0.025,3.11786810017564,0.769,1.76309337540648e-06,0.058
"14631",150,3,FALSE,TRUE,"Ha",7.88e-07,80507.1360213264,0.558,3.72773745205279e-09,0.063
"14632",15,3,TRUE,FALSE,"Ha",0.006,12.8223241671232,0.057,0.998682511389503,0.186
"14633",45,3,TRUE,FALSE,"Ha",0.000102,292.460848965536,0.02,0.524642056359928,0.098
"14634",150,3,TRUE,FALSE,"Ha",1.56e-14,408755383818.09,0.015,0.0211794847856528,0.073
"14635",15,3,TRUE,TRUE,"H0",0.99,0.164552437443026,0.288,0.97226083371388,0.000547
"14636",45,3,TRUE,TRUE,"H0",0.937,0.0750474035805088,0.18,0.964074688660063,0.000788
"14637",150,3,TRUE,TRUE,"H0",0.66,0.0376609182460145,0.965,0.928092227939415,0.002
"14638",15,3,FALSE,TRUE,"H0",0.835,0.192901353545068,0.207,0.84325677834798,0.008
"14639",45,3,FALSE,TRUE,"H0",0.527,0.139880948138852,0.968,0.687842743687483,0.011
"14640",150,3,FALSE,TRUE,"H0",0.751,0.0381270017156985,0.804,2.59267052271639e-11,0.001
"14641",15,3,TRUE,FALSE,"H0",0.139,0.673134996449012,0.141,0.989051911535275,0.034
"14642",45,3,TRUE,FALSE,"H0",0.015,2.73479831522567,0.174,0.970698393190514,0.04
"14643",150,3,TRUE,FALSE,"H0",0.549,0.0434344123970364,0.002,0.347923764209267,0.002
"14644",15,3,TRUE,TRUE,"Ha",0.214,0.60556851969886,0.258,0.939804946628596,0.069
"14645",45,3,TRUE,TRUE,"Ha",0.004,28.0599642966216,0.132,0.247038370488805,0.092
"14646",150,3,TRUE,TRUE,"Ha",1.9e-08,3815723.00296033,0.247,0.746568307330275,0.078
"14647",15,3,FALSE,TRUE,"Ha",0.066,2.52681661103491,0.991,0.558654802694674,0.152
"14648",45,3,FALSE,TRUE,"Ha",0.008,10.1253738403984,0.177,0.0598973790141765,0.075
"14649",150,3,FALSE,TRUE,"Ha",0.000303,127.225934267328,0.435,8.66157940704326e-07,0.037
"14650",15,3,TRUE,FALSE,"Ha",0.01,7.08491789981784,0.864,0.99254812759066,0.157
"14651",45,3,TRUE,FALSE,"Ha",0.000218,133.55616195355,0.33,0.832707924612502,0.087
