"","n","hypothesis","normality","p","mean","BF","Shapiro"
"661",15,"H0",TRUE,0.557019510845382,1.57546185619272,0.307474488939782,0.65331410389266
"662",40,"H0",TRUE,0.980839615866996,0.0379656366065864,0.170624670562327,0.179846043657551
"663",150,"H0",TRUE,0.124585680400399,1.29603177589871,0.290585823499059,0.0525425617817169
"664",15,"H0",FALSE,0.353250731538267,1.93082361085519,0.390027394506744,0.370663900967688
"665",40,"H0",FALSE,0.93334757431848,-0.148756377013283,0.171147980661381,0.016408403572838
"666",150,"H0",FALSE,0.427436506587012,-0.689099532084334,0.124017023326524,2.44913920515062e-06
"667",15,"Ha",TRUE,0.0116102835265051,5.54209304922655,4.92776830310962,0.4786404309625
"668",40,"Ha",TRUE,0.0373623998589345,3.14573774773987,1.35366610048575,0.199985135765196
"669",150,"Ha",TRUE,0.0851283310072213,1.33238728519467,0.391555338330284,0.856937348304585
"670",15,"Ha",FALSE,0.187323988989531,3.55904133651325,0.583856338274666,0.780680697444177
"671",40,"Ha",FALSE,0.0670472010601652,3.10132317812942,0.846917419036884,0.000839962945459511
"672",150,"Ha",FALSE,3.36044748008731e-06,3.73730396118658,3831.62286346517,7.88713951709556e-07
"673",15,"H0",TRUE,0.449354148730119,-2.64159103501876,0.341389737047876,0.943244087811968
"674",40,"H0",TRUE,0.749408183368702,0.572742103351224,0.179087937823179,0.101873078780726
"675",150,"H0",TRUE,0.0710712801876513,-1.45169786412707,0.452558526535096,0.591972470637721
"676",15,"H0",FALSE,0.179612406947496,3.38710415469629,0.600832860631811,0.272548531264355
"677",40,"H0",FALSE,0.891811101641854,-0.230668347666411,0.172090116335568,0.0114628125178486
"678",150,"H0",FALSE,0.50243862622452,-0.547586092887101,0.113497693362241,1.65023913463722e-06
"679",15,"Ha",TRUE,0.0777323424937772,4.30676721838072,1.09839058944284,0.315865958703921
"680",40,"Ha",TRUE,0.0100916451542616,5.2700883809197,4.04532661833628,0.114484324302745
"681",150,"Ha",TRUE,0.000157620724151424,3.24623308239609,103.486112960255,0.375822963045022
"682",15,"Ha",FALSE,0.0506902437634199,4.81405065660249,1.52081664611353,0.0184217805305328
"683",40,"Ha",FALSE,0.00468658209721599,5.4872014071388,7.83526715276223,0.000452370670933772
"684",150,"Ha",FALSE,0.00185263960556443,2.72659279499872,10.7698007008542,6.7293775773627e-07
"685",15,"H0",TRUE,0.57479475907352,1.47755943001831,0.303235956703615,0.715697442814292
"686",40,"H0",TRUE,0.766156831498072,-0.558410092216048,0.177931240743242,0.355917704124214
"687",150,"H0",TRUE,0.0728492275516915,1.57562786224604,0.443624216428742,0.230676494963585
"688",15,"H0",FALSE,0.502701751593384,-1.3826432384766,0.322596717698913,0.0895158957661749
"689",40,"H0",FALSE,0.124718000019359,-2.66674828494834,0.525794672974565,1.54759697308021e-06
"690",150,"H0",FALSE,0.43819462538477,-0.635131431710267,0.122272220910734,2.86513363259716e-08
"691",15,"Ha",TRUE,0.510663533050369,1.84153384738018,0.3201536202856,0.851831623778251
"692",40,"Ha",TRUE,0.00359982718778364,4.81588498083607,9.86009641447391,0.306713954058094
"693",150,"Ha",TRUE,1.40246723388689e-06,3.8515808482817,8773.5933365998,0.349336014796513
"694",15,"Ha",FALSE,0.000202167681697503,6.66378457438323,154.625365249469,0.797239670336138
"695",40,"Ha",FALSE,0.00736631157169837,3.83185395398833,5.29875433075677,0.00230513428209842
"696",150,"Ha",FALSE,6.21848653632997e-06,3.77457155296686,2141.12512169649,4.9042461600598e-08
"697",15,"H0",TRUE,0.997504735256059,0.00853235067128447,0.262351975742132,0.190717386996514
"698",40,"H0",TRUE,0.916350291430311,-0.165594756246608,0.17147799224141,0.124745714954067
"699",150,"H0",TRUE,0.282145654734446,-0.933229355792602,0.16076056637749,0.687105988728477
"700",15,"H0",FALSE,0.31187240950401,-2.52756520818416,0.420014786164237,0.0166776004040971
"701",40,"H0",FALSE,0.494438949471414,-1.02204946128258,0.213149594753905,0.00181889696164023
"702",150,"H0",FALSE,0.0921163442470198,1.38502383924984,0.367780104873343,3.79864888906886e-07
"703",15,"Ha",TRUE,0.988534874076189,-0.0310210406184459,0.262375726550289,0.0923794081869823
"704",40,"Ha",TRUE,0.01849211617254,4.457259850954,2.42248079469466,0.0807920594724171
"705",150,"Ha",TRUE,7.72876062667947e-07,4.1393862585821,15455.9373977163,0.90037890801279
"706",15,"Ha",FALSE,0.155298408874065,5.1850685684002,0.664412564655466,0.132527657754247
"707",40,"Ha",FALSE,0.000150736433311457,6.17418225161727,167.460556155854,0.00544637443496077
"708",150,"Ha",FALSE,1.2242073789318e-05,3.62669149505778,1130.29322135496,3.85859694339132e-05
"709",15,"H0",TRUE,0.218811100694845,2.67180712176611,0.526096897486341,0.626171554341492
"710",40,"H0",TRUE,0.907493189835536,0.1703321835069,0.171680290506206,0.270760558891928
"711",150,"H0",TRUE,0.376469656783721,-0.751719592328479,0.133683728671386,0.292259246003859
"712",15,"H0",FALSE,0.996429594270982,-0.0115137212146001,0.262353212514272,0.688678765744199
"713",40,"H0",FALSE,0.662806439474256,-0.770982773912358,0.18677805671724,0.067844122416222
"714",150,"H0",FALSE,0.0114180415262191,2.05569078432053,2.12693806197914,5.23858138311634e-09
"715",15,"Ha",TRUE,0.00837031296641853,6.79477534833297,6.44901900872803,0.16456057608755
"716",40,"Ha",TRUE,0.00821758173464373,4.04344796193737,4.82334728743662,0.549368465284053
"717",150,"Ha",TRUE,1.90543300677526e-06,3.98478615510243,6559.49102879718,0.344172779253235
"718",15,"Ha",FALSE,0.0103595146980822,5.78118560549236,5.41052527088737,0.0714070320487506
"719",40,"Ha",FALSE,2.4074678142263e-05,7.01287444155476,894.504714000393,0.000104579477484984
"720",150,"Ha",FALSE,0.00256084257786521,2.45348031976967,8.03804706971323,7.47774364405745e-06
"721",15,"H0",TRUE,0.722779418743909,-1.12162921205437,0.277992616637171,0.225986847461691
"722",40,"H0",TRUE,0.677586342900541,0.692327916174714,0.185244409582764,0.513078290431754
"723",150,"H0",TRUE,0.284921138185112,-0.910990451310465,0.159714223780443,0.19747041570695
"724",15,"H0",FALSE,0.217926912210417,2.89157394447475,0.527507387050841,0.115778003794717
"725",40,"H0",FALSE,0.696860336429251,-0.57632051188834,0.183388755008181,0.0123763886485402
"726",150,"H0",FALSE,0.706286994551309,0.342016874216756,0.0975370567709844,7.83649965610012e-08
"727",15,"Ha",TRUE,0.00891946801066211,7.79079719490814,6.11960774630398,0.459730773676281
"728",40,"Ha",TRUE,0.0471748189288382,3.37487200747079,1.12063818792994,0.121723733463883
"729",150,"Ha",TRUE,0.0039829424358435,2.39180325706138,5.40528992619449,0.0987666785654748
"730",15,"Ha",FALSE,0.146168464958437,3.40076227053638,0.69326195664539,0.0772626078283181
"731",40,"Ha",FALSE,0.0456429086481259,3.60987315243538,1.15084968920096,0.14859858052132
"732",150,"Ha",FALSE,8.92833965024363e-09,4.86061939543277,1100809.65109,1.00216493079653e-07
"733",15,"H0",TRUE,0.607662728627138,1.51196913745867,0.296184268801205,0.674008447216945
"734",40,"H0",TRUE,0.613041506722394,-0.929286827106118,0.192721448794164,0.941740864031795
"735",150,"H0",TRUE,0.105328451263912,1.2618864838896,0.330978700863035,0.793504149305576
"736",15,"H0",FALSE,0.499551521133275,1.82425665410003,0.323587002980496,0.176395832627191
"737",40,"H0",FALSE,0.922297697711061,0.12904744785549,0.17135385197724,0.00781255491153787
"738",150,"H0",FALSE,0.800990010050393,-0.215928684780241,0.0938398914078324,5.64595917762261e-09
"739",15,"Ha",TRUE,0.510901219826012,1.52172561809245,0.320081975150746,0.389701798037633
"740",40,"Ha",TRUE,0.00278510566248221,5.12175048495829,12.3434506417859,0.23894858732522
"741",150,"Ha",TRUE,1.8085449126393e-05,3.43864274590227,782.921694165054,0.109222217050705
"742",15,"Ha",FALSE,0.0399266133630372,6.16487987064766,1.83055449611973,0.195865689841829
"743",40,"Ha",FALSE,0.000142736675125536,7.19276783698314,175.957017616992,0.0034525331375549
"744",150,"Ha",FALSE,0.000374077010693966,3.00966586248935,46.5149591055084,3.93613043486982e-09
"745",15,"H0",TRUE,0.729257612734329,-1.08957069774501,0.277219639400394,0.403478507741676
"746",40,"H0",TRUE,0.181589939191375,2.20683311006601,0.399936205593966,0.324695986186063
"747",150,"H0",TRUE,0.158443842988405,1.19373910456323,0.242212529363459,0.689469093617002
"748",15,"H0",FALSE,0.487552599614279,-1.46857660149742,0.327486689575579,0.0359308952963046
"749",40,"H0",FALSE,0.618330893932631,0.788077787634483,0.19202835285437,0.0594269835817769
"750",150,"H0",FALSE,0.393145533802035,-0.73170155732252,0.130239304127588,3.44158425149847e-07
"751",15,"Ha",TRUE,0.526176519383004,-1.04732742208612,0.315628286609315,0.239965360798999
"752",40,"Ha",TRUE,0.0413423616483412,3.12627348468731,1.2467391649424,0.737368329049904
"753",150,"Ha",TRUE,3.00958720384651e-07,4.6676563918035,37948.0613026254,0.535497061468642
"754",15,"Ha",FALSE,0.345077553729764,2.76936278235687,0.395399637432112,0.284733018092407
"755",40,"Ha",FALSE,0.47647895615314,1.46253213002834,0.217264652529634,0.000492843713106997
"756",150,"Ha",FALSE,1.41593172473434e-08,5.02974253332031,706981.422029632,3.0985049115839e-08
"757",15,"H0",TRUE,0.203497217353051,-2.41967914774325,0.552124674039531,0.00235047701204092
"758",40,"H0",TRUE,0.0828527784200303,2.97578634929864,0.717791406291337,0.825386492323405
"759",150,"H0",TRUE,0.875241027635841,0.131192578268822,0.0920601475531447,0.431558660102714
"760",15,"H0",FALSE,0.898647283418388,0.344248090817205,0.264316777699585,0.092085326603619
"761",40,"H0",FALSE,0.126327580039488,-2.51058477819248,0.520795330381432,0.00143419070429139
"762",150,"H0",FALSE,0.78994586755669,0.208867820566122,0.0941834440251268,3.77801575122785e-06
